bank_country	idBank	bank	idBank	fk_bank
bank_country	idCountry	country	idCountry	fk_country
bankAccount	idCountry	country	idCountry	fk_bankaccount1
bankAccount	idBank	catalog	idCatalog	fk_bankaccount2
blackList	idPersonRegister	person	idPerson	fk_blackList_1
blackList	idBannedPerson	person	idPerson	fk_blacklist_2
businessAddress	idCountry	country	idCountry	fk_businessaddress1
businessAddress	idVicionario	vicionario	idVicionario	fk_businessaddress2
businessProfile	idVicionario	vicionario	idVicionario	fk_businessprofile1
businessProfile	idBusinessCategory	catalog	idCatalog	fk_businessprofile2
coupon	idStatus	catalog	idCatalog	fk_coupondetail1
coupon	idCouponPackage	couponPackage	idCouponPackage	fk_coupondetail2
coupon	idVicionarioRedeem	vicionario	idVicionario	fk_coupondetail3
couponPackage	idBusinessAddress	businessAddress	idBusinessAddress	fk_coupon1
couponPackage	idVicionario	vicionario	idVicionario	fk_coupon2
couponPackage	idMovement	movement	idMovement	FK_couponPackage_movement
document	idCountry	country	idCountry	fk_document1
document	idModuleAvailable	catalog	idCatalog	fk_document2
legalDocumentField	idLegalDocument	legalDocument	idLegalDocument	fk_ldField_legalDocument
legalDocumentField	idCatalog	catalog	idCatalog	FK_legalDocumentField_catalog
loan	idMovement	movement	idMovement	fk_loan_movement
loan	idRetentionType	catalog	idCatalog	loan_catalog_FK
loan	idPaymentPeriodicity	catalog	idCatalog	loan_paymentperiodicity_catalog_FK
loan	idPersonRegister	person	idPerson	loan_person_register_FK
loan	idStatus	catalog	idCatalog	loan_status_catalog_FK
loan	idVicionario	vicionario	idVicionario	loan_vicionario_FK
loanRequest	idVicionario	vicionario	idVicionario	fk_loanRequest_1
loanRequest	idRetentionType	catalog	idCatalog	fk_loanRequest_2
loanRequest	idPaymentPeriodicity	catalog	idCatalog	fk_loanRequest_3
loanRequest	idPersonUpdate	person	idPerson	fk_loanRequest_4
loanRequest	idStatus	catalog	idCatalog	fk_loanRequest_5
loanRequest	idLoan	loan	idLoan	fk_loanRequest_6
logActivity	idPerson	person	idPerson	fk_logactivity1
logPersonStatus	idVicionario	vicionario	idVicionario	fk_logPersonStatus_1
logPersonStatus	idPerson	person	idPerson	fk_logPersonStatus_2
logVicionarioPointsHistory	idVicionarioRoot	vicionario	idVicionario	fk_logVicionarioPointsHistory_1
logVicionarioPointsHistory	idVicionarioDirect	vicionario	idVicionario	fk_logVicionarioPointsHistory_2
logVicionarioPointsHistory	idSponsor	vicionario	idVicionario	fk_logVicionarioPointsHistory_3
logVicionarioPointsHistory	idVicionarioPackage	vicionarioPackage	idVicionarioPackage	fk_logVicionarioPointsHistory_4
logVicionarioPointsHistory	idReference	catalog	idCatalog	fk_logVicionarioPointsHistory_5
logVicionarioPointsHistory	idLegNetwork	catalog	idCatalog	fk_logVicionarioPointsHistory_6
logVicionarioPointsHistory	idVicionarioRankObteined	rank	idRank	fk_logVicionarioPointsHistory_7
mediaResource	idType	catalog	idCatalog	fk_mediaresource1
mediaResource	idPersonCreate	person	idPerson	fk_mediaresource3
message	idUserSender	person	idPerson	fk_message1
message	idMessageReply	message	idMessage	fk_message2
messageDetail	idMessage	message	idMessage	fk_messagedetail_1
messageDetail	idRecipient	person	idPerson	fk_messagedetail_2
messageDetail	idStatus	catalog	idCatalog	fk_messagedetail_3
moduleAction	idModule	module	idModule	fk_moduleAction_module
moduleActionPermission	idAction	moduleAction	idAction	fk_actionPermission_action
moduleActionPermission	idPerson	person	idPerson	fk_actionPermission_person
modulePermission	idModule	module	idModule	fk_modulepermission1
modulePermission	idPerson	person	idPerson	fk_modulepermission2
movement	idVicionarioPackage	vicionarioPackage	idVicionarioPackage	fk_movement_1
movement	idWallet	wallet	idWallet	fk_movement_2
movement	idConcept	concept	idConcept	fk_movement_3
movement	idPerson	person	idPerson	fk_movement_4
movement	idVicionarioPackageOrigin	vicionarioPackage	idVicionarioPackage	fk_movement_5
news	idPerson	person	idPerson	fk_news_1
notification	idPersonRegister	person	idPerson	fk_notification_1
notification	idEvent	catalog	idCatalog	fk_notification_2
notification	idPriority	catalog	idCatalog	fk_notification_3
package	idPersonUpdate	person	idPerson	fk_package_personUpdate
package	idType	catalog	idCatalog	fk_package1
person	idCountryPhone	country	idCountry	fk_person2
person	idCountryBirthday	country	idCountry	fk_person3
person	idRole	role	idRole	fk_person4
person	idGender	catalog	idCatalog	fk_person5
person	idStatus	catalog	idCatalog	fk_person6
rank	idPreviousRank	rank	idRank	fk_rank_1
roleModule	idRole	role	idRole	fk_rolemodule1
roleModule	idModule	module	idModule	fk_rolemodule2
testimonial	idPersonCreate	person	idPerson	fk_tstimonial_1
ticket	idStatus	catalog	idCatalog	fk_ticket1
ticket	idPersonCreate	person	idPerson	fk_ticket2
ticket	idTicketReply	ticket	idTicket	fk_ticket3
ticket	idPersonResolved	person	idPerson	fk_ticket4
ticket	idSubject	catalog	idCatalog	fk_ticket5
ticket	idPersonAssigned	person	idPerson	fk_ticket6
ticketAssignmentTracking	idPersonAssigned	person	idPerson	FK_ticketAssignmentTracking_person
ticketAssignmentTracking	idTicket	ticket	idTicket	FK_ticketAssignmentTracking_ticket
ticketTracker	idPerson	person	idPerson	ticketTracker_person_FK
ticketTracker	idTicket	ticket	idTicket	ticketTracker_ticket_FK
vicionario	idStatus	catalog	idCatalog	vicionario_catalog_status_FK
vicionario	idVicionarioLeft	vicionario	idVicionario	vicionario_left_FK
vicionario	idVicionarioParent	vicionario	idVicionario	vicionario_parent_FK
vicionario	idPerson	person	idPerson	vicionario_person_FK
vicionario	idRank	rank	idRank	vicionario_rank_FK
vicionario	idVicionarioRight	vicionario	idVicionario	vicionario_right_FK
vicionarioAddress	idCountry	country	idCountry	fk_memberaddress1
vicionarioDocument	idDocument	document	idDocument	fk_memberdocument1
vicionarioDocument	idStatus	catalog	idCatalog	fk_memberdocument3
vicionarioDocument	idPersonUpdateStatus	person	idPerson	fk_memberdocument4
vicionarioDocument	idVicionario	vicionario	idVicionario	fk_memberdocument5
vicionarioKyc	idVicionario	vicionario	idVicionario	fk_kyc1
vicionarioKyc	idDocument	document	idDocument	fk_kyc2
vicionarioKyc	idStatus	catalog	idCatalog	fk_kyc3
vicionarioKyc	idPersonUpdateStatus	person	idPerson	fk_kyc4
vicionarioLeadershipBonusRecord	idLeftDirect	vicionario	idVicionario	FK_vlbr_leftDirect
vicionarioLeadershipBonusRecord	idRank	rank	idRank	FK_vlbr_rank
vicionarioLeadershipBonusRecord	idRightDirect	vicionario	idVicionario	FK_vlbr_rightDirect
vicionarioLeadershipBonusRecord	idVicionario	vicionario	idVicionario	FK_vlbr_vicionario
vicionarioLegalDocument	idStatus	catalog	idCatalog	fk_vld_catalog
vicionarioLegalDocument	idLegalDocument	legalDocument	idLegalDocument	fk_vld_legalDocument
vicionarioLegalDocument	idPersonUpdate	person	idPerson	fk_vld_person
vicionarioLegalDocument	idVicionario	vicionario	idVicionario	fk_vld_vicionario
vicionarioMoneyAccount	idVicionario	vicionario	idVicionario	fk_vicionarioMoneyAccount_1
vicionarioMoneyAccount	idtype	catalog	idCatalog	fk_vicionarioMoneyAccount_2
vicionarioMoneyAccount	idbank	catalog	idCatalog	fk_vicionarioMoneyAccount_3
vicionarioMoneyAccount	idasset	asset	idAsset	fk_vicionarioMoneyAccount_4
vicionarioNewUserMigracion	idVicionario	vicionario	idVicionario	fk_vicionarioNewUserMigracion_1
vicionarioNewUserMigracion	idPerson	person	idPerson	fk_vicionarioNewUserMigracion_2
vicionarioPackage	idVicionario	vicionario	idVicionario	fk_vicionarioPackage_1
vicionarioPackage	idPackage	package	idPackage	fk_vicionarioPackage_2
vicionarioPackage	idStatus	catalog	idCatalog	fk_vicionarioPackage_3
vicionarioPackage	idPersonUpdate	person	idPerson	fk_vicionarioPackage_4
vicionarioPackage	idPaymentMethod	catalog	idCatalog	fk_vicionarioPackage_5
vicionarioPackage	idPeriodicity	catalog	idCatalog	fk_vicionarioPackage_6
vicionarioPackageAvailableMovement	idVicionarioPackage	vicionarioPackage	idVicionarioPackage	fk_vicionarioPackageAvailableMovement_1
vicionarioPackagePermission	idPersonEditor	person	idPerson	FK_VPP_Person
vicionarioPackagePermission	idVicionario	vicionario	idVicionario	FK_VPP_Vicionario
vicionarioRankRecord	idVicionario	vicionario	idVicionario	fk_memberrank1
vicionarioRankRecord	idRank	rank	idRank	fk_memberrank2
wallet	idVicionario	vicionario	idVicionario	fk_wallet_1
wallet	idAsset	asset	idAsset	fk_wallet_2
watchedNews	idNews	news	idNews	fk_new
watchedNews	idVicionario	vicionario	idVicionario	fk_vicionario_new
withdrawalRequest	idVicionario	vicionario	idVicionario	fk_withdrawalRequest_1
withdrawalRequest	idPaymentMethod	catalog	idCatalog	fk_withdrawalRequest_2
withdrawalRequest	idStatus	catalog	idCatalog	fk_withdrawalRequest_3
withdrawalRequest	idPersonUpdate	person	idPerson	fk_withdrawalRequest_4
withdrawalRequest	idMovement	movement	idMovement	fk_withdrawalRequest_5
withdrawalRequest	idVicionarioMoneyAccount	vicionarioMoneyAccount	idVicionarioMoneyAccount	withdrawalRequest_vicionarioMoneyAccount_FK
